S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,
199,PBLD87,842.00,5.60,0.67,842.00,842.00,842.00,25.00,836.40,
200,PCBL,201.50,-0.50,-0.25,200.00,203.00,199.10,60007.00,202.00,
201,PFL,354.00,-0.80,-0.23,353.00,364.00,350.00,5885.00,354.80,
202,PHCL,299.90,1.90,0.64,293.10,321.40,293.10,63615.00,298.00,
203,PMHPL,215.00,-5.00,-2.27,224.40,224.40,214.40,24560.00,220.00,
204,PMLI,598.00,-25.70,-4.12,612.00,624.00,596.10,38801.00,623.70,
205,PPCL,218.00,-7.10,-3.15,229.60,229.60,218.00,22595.00,225.10,
206,PPL,280.00,-13.00,-4.44,293.00,297.90,272.10,28450.00,293.00,
207,PRIN,851.00,-29.00,-3.30,885.00,896.90,851.00,57397.00,880.00,
208,PROFL,308.90,-3.10,-0.99,318.10,320.00,308.90,38530.00,312.00,
209,PRSF,8.90,-0.12,-1.33,8.90,9.25,8.90,16700.00,9.02,
210,PRVU,162.00,-2.80,-1.70,165.00,167.00,162.00,147143.00,164.80,
211,PSF,8.40,-0.09,-1.06,8.33,8.41,8.20,3470.00,8.49,
212,RADHI,230.00,1.36,0.59,232.00,237.80,228.60,44517.00,288.64,
213,RAWA,411.80,-8.30,-1.98,420.00,435.00,411.80,16251.00,420.10,
214,RBCL,14900.00,-350.00,-2.30,15300.00,15300.00,14900.00,122.00,15250.00,
215,RBCLPO,12005.10,-218.90,-1.79,12200.00,12300.00,12000.00,460.00,12224.00,
216,RFPL,262.00,-12.00,-4.38,279.00,285.00,262.00,53890.00,274.00,
217,RHGCL,260.00,-10.50,-3.88,265.10,275.00,253.00,33050.00,270.50,
218,RHPL,275.00,-2.00,-0.72,282.50,286.10,274.40,27461.00,277.00,
219,RIDI,208.80,-8.20,-3.78,221.30,221.30,208.80,37575.00,217.00,
220,RLFL,358.30,-4.70,-1.29,359.00,373.90,358.30,16072.00,363.00,
221,RMF1,7.72,0.00,0.00,7.60,7.80,7.60,8600.00,7.72,
222,RMF2,8.32,0.00,0.00,8.31,8.32,8.31,1400.00,8.32,
223,RNLI,567.10,-14.90,-2.56,582.00,587.00,566.50,172131.00,582.00,
224,RSDC,535.10,4.10,0.77,540.00,545.70,531.10,3419.00,531.00,
225,RURU,721.50,0.50,0.07,725.00,743.90,710.60,821.00,721.00,
226,SABSL,595.00,-2.00,-0.34,585.10,617.00,585.10,1282.00,597.00,
227,SADBL,305.00,0.00,0.00,305.20,315.00,305.00,20369.00,305.00,
228,SAEF,9.70,-0.12,-1.22,9.90,9.99,9.70,111502.00,9.82,
229,SAGF,9.20,0.61,7.10,8.59,9.20,8.50,22920.00,8.59,
230,SAHAS,505.00,-13.00,-2.51,512.00,523.90,505.00,38155.00,518.00,
231,SALICO,716.00,-2.00,-0.28,720.00,734.00,715.30,20759.00,718.00,
232,SAMAJ,183.20,7.00,3.97,179.70,183.20,179.70,20.00,176.20,
233,SANIMA,252.00,-2.00,-0.79,252.00,259.00,251.00,53936.00,254.00,
234,SAPDBL,245.00,-3.90,-1.57,250.00,250.00,244.00,12821.00,248.90,
235,SBCF,7.89,0.02,0.25,7.72,8.10,7.58,21000.00,7.87,
236,SBD87,890.00,0.00,0.00,902.00,902.00,890.00,205.00,890.00,
237,SBI,306.40,2.40,0.79,305.00,309.00,303.00,26846.00,304.00,
238,SBID83,1000.00,0.00,0.00,1000.00,1000.00,1000.00,125.00,1000.00,
239,SBL,252.00,2.00,0.80,252.00,255.00,251.00,50148.00,250.00,
240,SBLD2082,1029.00,4.00,0.39,1029.00,1029.00,1029.00,20.00,1025.00,
241,SBLD84,849.00,-17.00,-1.96,850.00,850.00,849.00,60.00,866.00,
242,SCB,516.00,2.00,0.39,522.90,534.00,515.00,11911.00,514.00,
243,SDLBSL,586.20,-10.80,-1.81,595.00,600.00,586.20,922.00,597.00,
244,SEF,8.24,-0.16,-1.90,8.25,8.25,8.24,200.00,8.40,
245,SFCL,296.00,0.00,0.00,301.80,306.00,291.10,24600.00,296.00,
246,SFEF,8.19,0.02,0.24,8.17,8.19,8.17,2000.00,8.17,
247,SFMF,8.98,-0.55,-5.77,9.34,9.34,8.98,350.00,9.53,
248,SGHC,274.50,-1.50,-0.54,275.00,287.00,271.50,22656.00,276.00,
249,SGIC,576.00,8.30,1.46,579.00,590.00,560.00,186432.00,567.70,
250,SHEL,283.00,-3.00,-1.05,282.00,300.00,282.00,34723.00,286.00,
251,SHINE,395.30,4.30,1.10,394.90,400.00,385.00,81340.00,391.00,
252,SHIVM,579.00,7.00,1.22,583.40,592.00,575.00,345218.00,572.00,
253,SHL,458.00,-3.20,-0.69,468.00,474.00,455.90,137081.00,461.20,
254,SHLB,880.00,-27.10,-2.99,920.00,920.00,875.00,844.00,907.10,
255,SHPC,352.00,-4.00,-1.12,355.00,360.00,351.00,48619.00,356.00,
256,SICL,765.00,2.00,0.26,778.00,778.00,760.00,12861.00,763.00,
257,SIFC,358.70,-2.20,-0.61,364.00,375.00,358.70,13595.00,360.90,
258,SIGS2,8.19,0.01,0.12,8.03,8.19,8.03,400.00,8.18,
259,SIKLES,435.00,-9.00,-2.03,435.20,450.00,430.60,7760.00,444.00,
260,SINDU,279.00,1.10,0.40,283.00,283.40,275.00,7561.00,277.90,
261,SJCL,280.10,-6.90,-2.40,285.00,302.60,280.10,15239.00,287.00,
262,SJLIC,550.20,-10.80,-1.93,561.00,573.20,547.00,91022.00,561.00,
263,SKBBL,893.00,4.68,0.53,906.00,906.00,890.00,13112.00,888.32,
264,SLBBL,634.00,-14.00,-2.16,638.00,652.80,634.00,7091.00,648.00,
265,SLBSL,779.00,-6.10,-0.78,769.40,785.00,739.10,136.00,785.10,
266,SLCF,8.11,0.31,3.97,7.70,8.11,7.70,77650.00,7.80,
267,SMATA,624.00,0.00,0.00,636.00,637.40,615.00,906.00,624.00,
268,SMB,966.00,10.25,1.07,974.80,974.80,950.00,390.00,955.75,
269,SMFBS,925.00,52.80,6.05,888.00,925.40,856.00,310.00,872.20,
270,SMH,590.00,0.00,0.00,601.80,602.00,580.00,8207.00,590.00,
271,SMHL,421.40,-5.60,-1.31,428.00,445.20,421.40,30989.00,427.00,
272,SMJC,329.00,-17.00,-4.91,346.00,356.00,325.90,95296.00,346.00,
273,SNLI,593.00,-11.00,-1.82,605.00,616.00,592.10,151338.00,604.00,
274,SONA,456.00,1.90,0.42,463.10,470.00,443.00,437027.00,454.10,
275,SPC,474.00,-19.00,-3.85,483.20,500.00,464.60,8800.00,493.00,
276,SPDL,217.00,-8.00,-3.56,229.50,229.50,212.00,79168.00,225.00,
277,SPHL,455.00,-23.50,-4.91,488.00,488.00,455.00,12536.00,478.50,
278,SPIL,767.00,7.00,0.92,770.00,780.00,758.00,21054.00,760.00,
279,SPL,706.00,13.00,1.88,706.80,720.50,692.30,3330.00,693.00,
280,SRLI,483.00,5.00,1.05,481.00,492.00,479.00,44718.00,478.00,
281,SSHL,159.00,-3.00,-1.85,165.00,167.90,159.00,63834.00,162.00,
282,STC,5332.00,30.00,0.57,5350.00,5450.00,5310.00,2647.00,5302.00,
283,SWBBL,730.60,-4.20,-0.57,730.00,740.00,730.00,4293.00,734.80,
284,SWMF,686.90,1.90,0.28,680.00,692.90,668.00,7356.00,685.00,
285,TAMOR,293.00,-11.00,-3.62,304.00,310.00,293.00,32659.00,304.00,
286,TPC,384.00,-10.90,-2.76,402.70,402.70,378.00,3061.00,394.90,
